Object,Total,Success,Failures,Date
stg_user,181,181,0,2026-01-10 23:41:14
user,301,301,0,2026-01-10 23:41:41
stg_user,181,181,0,2026-01-10 23:42:20
user,301,301,0,2026-01-10 23:42:47
user_role,43,43,0,2026-01-10 23:42:55
record_type,45,45,0,2026-01-10 23:43:02
stg_account,1522,1522,0,2026-01-10 23:43:06
account,3090,3090,0,2026-01-10 23:44:24
stg_user,181,181,0,2026-01-10 23:45:40
user,301,301,0,2026-01-10 23:46:06
user_role,43,43,0,2026-01-10 23:46:14
record_type,45,45,0,2026-01-10 23:46:22
stg_account,1522,1522,0,2026-01-10 23:46:26
account,3090,3090,0,2026-01-10 23:46:50
contact,6562,6562,0,2026-01-10 23:47:13
stg_user,181,181,0,2026-01-10 23:50:08
lead,319547,317497,2050,2026-01-10 23:50:42
user,301,301,0,2026-01-10 23:50:47
stg_lead,121409,121409,0,2026-01-10 23:50:51
user_role,43,43,0,2026-01-10 23:50:55
record_type,45,45,0,2026-01-10 23:51:03
stg_account,1522,1522,0,2026-01-10 23:51:07
campaign,1766,1166,600,2026-01-10 23:51:31
stg_opportunity,1259,1259,0,2026-01-10 23:51:35
account,3090,3090,0,2026-01-10 23:51:35
contact,6562,6562,0,2026-01-10 23:51:58
stg_user,181,181,0,2026-01-10 23:52:53
opportunity,3505,3505,0,2026-01-10 23:53:54
stg_task,148000,147988,12,2026-01-10 23:54:16
user,301,301,0,2026-01-10 23:54:39
user_role,43,43,0,2026-01-10 23:54:55
record_type,45,45,0,2026-01-10 23:55:11
stg_account,1522,1522,0,2026-01-10 23:55:28
task,459125,455725,3400,2026-01-10 23:56:08
currency_rate,4,4,0,2026-01-10 23:56:22
pqcrush_account_plan_history,69,69,0,2026-01-10 23:56:37
qingflow_copy,76142,76142,0,2026-01-10 23:57:07
account,3090,3089,1,2026-01-10 23:57:12
pqcrush_rm_chart_setting_c,22,22,0,2026-01-10 23:57:47
invoice_collection_c,7022,7022,0,2026-01-11 00:31:21
elvance_elvance_assignment_request_c,1,1,0,2026-01-11 00:47:58
contact,6562,6561,1,2026-01-11 00:47:59
elvance_opp_scorecard_c,1279,1279,0,2026-01-11 01:59:33
campaign_influence,7006,7006,0,2026-01-11 02:34:12
operating_hours,1,1,0,2026-01-11 03:00:31
territory_2_model_history,1,1,0,2026-01-11 03:51:26
pqcrush_relationship_group_lead_association_history,8,8,0,2026-01-11 04:17:38
partner_region_owner_rule_c,4,4,0,2026-01-11 05:02:23
elvance_elvance_user_c,33,33,0,2026-01-11 05:17:35
pqcrush_contact_relationship_type_c,5,5,0,2026-01-11 05:18:03
pqcrush_pq_support_matrix_association_c,4,4,0,2026-01-11 05:18:17
pqcrush_pq_influence_c,3,3,0,2026-01-11 05:18:31
pqcrush_rm_svg_c,348,348,0,2026-01-11 05:21:02
pqcrush_rm_org_setting_history,4,4,0,2026-01-11 05:21:16
owner_performance,181,152,29,2026-01-11 05:50:38
pqcrush_pq_support_c,4,4,0,2026-01-11 05:50:53
campaign_member_status,4187,4187,0,2026-01-11 05:51:08
lead,319547,319547,0,2026-01-11 05:51:15
stg_lead,121409,121409,0,2026-01-11 05:52:00
po_c_c,836,836,0,2026-01-11 05:52:18
campaign,1766,1766,0,2026-01-11 05:52:43
lead_monthly_metric,12129,12129,0,2026-01-11 05:53:01
stg_opportunity,1259,1259,0,2026-01-11 05:53:11
pqcrush_template_section_c,15,15,0,2026-01-11 05:53:15
contract,480,480,0,2026-01-11 05:54:12
rule_territory_2_association,1,1,0,2026-01-11 05:54:26
object_territory_2_association,25,25,0,2026-01-11 05:54:40
pqcrush_relationship_map_c,70,70,0,2026-01-11 05:54:54
pqcrush_pq_influence_matrix_association_c,3,3,0,2026-01-11 05:55:09
pqcrush_relationship_map_member_c,465,465,0,2026-01-11 05:55:23
pqcrush_pq_opportunity_manager_setting_history,1,1,0,2026-01-11 05:55:37
pqcrush_rm_chart_setting_history,22,22,0,2026-01-11 05:55:51
monthly_arr_c,6,6,0,2026-01-11 05:56:05
pqcrush_team_member_c,97,97,0,2026-01-11 05:56:20
opportunity,3505,3505,0,2026-01-11 05:56:57
quote,1074,1074,0,2026-01-11 05:58:55
fivetran_audit,373101,373101,0,2026-01-11 05:59:18
pqcrush_relationship_group_contact_association_history,14,14,0,2026-01-11 05:59:32
opportunity_history,19640,19640,0,2026-01-11 05:59:46
user_defined_label,1,1,0,2026-01-11 06:00:00
pqcrush_contact_relationship_history,114,114,0,2026-01-11 06:00:15
time_slot,5,5,0,2026-01-11 06:00:29
user_daily_metric,518,518,0,2026-01-11 06:01:11
quote_history,1699,1699,0,2026-01-11 06:01:26
pqcrush_rm_svg_node_association_c,115,115,0,2026-01-11 06:01:40
fivetran_picklist_field,775,775,0,2026-01-11 06:01:54
