Object,Total,Success,Failures,Date
account,3477,3477,0,2026-01-10 08:27:30
lead,324389,324029,360,2026-01-10 08:32:29
contact,9843,9843,0,2026-01-10 08:32:57
opportunity,5258,5258,0,2026-01-10 08:33:36
task,459293,458387,906,2026-01-10 08:39:10
campaign,3532,3532,0,2026-01-10 08:39:21
account_202505,5150,5150,0,2026-01-10 08:39:31
account_copy,3334,3334,0,2026-01-10 08:39:49
aws_industry_mapping_c,220,220,0,2026-01-10 08:39:58
campaign_influence,12006,12006,0,2026-01-10 08:40:14
campaign_member_status,8374,8374,0,2026-01-10 08:40:25
campaign_member,602625,601546,1079,2026-01-10 08:47:27
account,3477,3477,0,2026-01-10 08:51:01
lead,324389,324389,0,2026-01-10 08:55:19
contact,9843,9843,0,2026-01-10 08:55:58
opportunity,5258,5258,0,2026-01-10 08:56:37
task,459293,459293,0,2026-01-10 09:01:08
campaign,3532,3532,0,2026-01-10 09:01:19
account_202505,5150,5150,0,2026-01-10 09:01:29
account_copy,3334,3334,0,2026-01-10 09:01:46
aws_industry_mapping_c,220,220,0,2026-01-10 09:01:55
campaign_influence,12006,12006,0,2026-01-10 09:02:09
campaign_member_status,8374,8374,0,2026-01-10 09:02:20
campaign_member,602625,602625,0,2026-01-10 09:08:06
contact_daily_metric,238,238,0,2026-01-10 09:08:17
contact_history,34562,34562,0,2026-01-10 09:08:43
contact_monthly_metric,202,202,0,2026-01-10 09:08:53
content_document,2238,2238,0,2026-01-10 09:09:03
content_taxonomy_term_relationship_type,2,2,0,2026-01-10 09:09:10
content_version,2254,2254,0,2026-01-10 09:09:21
contract,960,960,0,2026-01-10 09:09:35
crm_account,4068,4068,0,2026-01-10 09:09:46
currency_rate,8,8,0,2026-01-10 09:09:54
elvance_activity_log_c,128,128,0,2026-01-10 09:10:03
elvance_elvance_assignment_request_c,2,2,0,2026-01-10 09:10:10
elvance_elvance_log_c,5288,5288,0,2026-01-10 09:10:21
elvance_elvance_risk_c,28,28,0,2026-01-10 09:10:29
elvance_elvance_risk_entry_c,2266,2266,0,2026-01-10 09:10:38
elvance_elvance_user_c,66,66,0,2026-01-10 09:10:46
elvance_feature_gap_c,56,56,0,2026-01-10 09:10:55
elvance_feature_gap_entry_c,1138,1138,0,2026-01-10 09:11:04
